dataset,cell_line,#_fusions_predicted,fusion_pred_list
ccle,UACC-812,16,"['HDGF--S100A10', 'WIPF2--ERBB2', 'PRPF3--SRGAP2', 'SRGAP2C--PRPF3', 'WIPF2--ERBB2', 'WIPF2--ERBB2', 'RRNAD1--CTSS', 'RRNAD1--CTSS', 'RRNAD1--CTSS', 'PHF12--LRRC37BP1', 'RRNAD1--CTSS', 'LASP1--CSF3', 'LMO7--SCEL', 'PPP1R12B--SNX27', 'NBPF26--AC239809.1', 'WARS2--AKT3']"
ccle,SU-DHL-10,2,"['THOC2--MTSS1', 'ZNF654--HMGB2']"
ccle,SW837,10,"['RBM12B--RAD54B', 'RBM12B--RAD54B', 'ANKRD13C--PTGER3', 'SPRED2--RAB1A', 'RBM12B--RAD54B', 'RBM12B--RAD54B', 'RBM12B--RAD54B', 'HAND2-AS1--LINC02269', 'AC011586.2--MSR1', 'HAND2-AS1--LINC02269']"
ccle,SW1463,8,"['LRR1--RPL36AL', 'RPL36AL--LRR1', 'TRIT1--LRRC59', 'MID1--ZFX', 'ATP5F1A--SNTG1', 'ARHGAP35--VRK3', 'VASP--SNHG30', 'KANSL1--GPI']"
ccle,HCT-116,14,"['COMMD10--AP3S1', 'PANK2--MAVS', 'TCF7L2--AL158212.1', 'PANK2--MAVS', 'PANK2--MAVS', 'TCF7L2--AL158212.1', 'PANK2--MAVS', 'TCF7L2--AL158212.1', 'SPAG9--MBTD1', 'LINC00511--SLC39A11', 'LINC00511--SLC39A11', 'SPAG9--MBTD1', 'SPAG9--MBTD1', 'RAD18--OXTR']"
ccle,NCI-H510A,58,"['MACF1--HEYL', 'TWSG1--PIK3C3', 'PPP4R3A--HEATR3', 'RAP2A--PCDH9-AS1', 'PTK2--PKHD1L1', 'JADE2--UBE2B', 'HDAC2--BEND3', 'TBC1D3L--SMYD3', 'PTK2--PKHD1L1', 'CU104787.1--BAGE2', 'BAZ1A--SFTA3', 'CAPZB--LINC02241', 'NFE2L1--SKAP1', 'BAZ1A--SFTA3', 'TBC1D3L--SMYD3', 'BAZ1A--SFTA3', 'BAZ1A--SFTA3', 'BAZ1A--SFTA3', 'PKHD1L1--ESRP1', 'XRCC6--ACO2', 'ARHGAP23--MRPL45', 'R3HDM2--DCTN2', 'AC006453.1--FAM230C', 'ELOVL6--ENPEP', 'PDS5B--AL159156.1', 'ELOVL6--ENPEP', 'PDXDC2P--AC009060.1', 'AC006453.1--FAM230C', 'KCNQ3--PCAT1', 'FBXL3--TRPC4', 'PPIEL--INPP5B', 'AC006453.1--FAM230C', 'PTMA--NCL', 'KCNQ3--PCAT1', 'CNRIP1--AC017083.3', 'UNC45A--DYRK1A', 'PDS5B--AL159156.1', 'PDS5B--AL159156.1', 'TRIO--LINC02142', 'PDXDC2P--AC009060.1', 'PDXDC2P--AC009060.1', 'VPS8--AGRN', 'LRP12--AC022973.2', 'PDXDC2P--AC009060.1', 'AL391840.3--SH3BGRL2', 'KCNQ3--PCAT1', 'UNC45A--DYRK1A', 'PLXND1--TMCC1', 'LMCD1-AS1--AC077690.1', 'CYLD--KLF3', 'LINC02241--AL669831.3', 'AC011586.2--MSR1', 'FBXL3--TRPC4', 'OXR1--PTK2', 'TCEA2--ITGAE', 'AC073529.1--MID1', 'CU104787.1--BAGE2', 'OXR1--PTK2']"
ccle,MDST8,4,"['AL353138.1--PTCHD4', 'RAB8B--LINC02568', 'AC139887.1--CPLX1', 'UBB--UBA52']"
ccle,SU-DHL-5,1,['AC004687.1--MCM7']
ccle,SW620,20,"['CDH13--AC073968.2', 'CDH13--AC073968.2', 'CDH13--AC073968.2', 'NSD1--ZNF346', 'AKAP13--PDE8A', 'AKAP13--PDE8A', 'ARNTL2--AC010197.1', 'PTMA--NCL', 'USP45--FAXC', 'AC068756.1--AC108690.1', 'USP45--FAXC', 'USP45--FAXC', 'CMC2--ARLNC1', 'CMC2--ARLNC1', 'LIMK2--DEPDC5', 'LIMK2--DEPDC5', 'LIMK2--DEPDC5', 'CMC2--ARLNC1', 'CMC2--ARLNC1', 'AL445647.1--MIR4500HG']"
ccle,HCT-15,15,"['CASC19--CASC8', 'MGRN1--C16orf96', 'NT5DC1--FRK', 'UBA2--GPI', 'GGA3--NUP85', 'FRK--NT5DC1', 'GGA3--NUP85', 'PRMT3--RBM4B', 'PRMT3--RBM4B', 'PRMT3--RBM4B', 'NT5DC3--TTC41P', 'MBTD1--UTP18', 'PLAUR--LYPD5', 'ZNF654--HMGB2', 'CASC19--AC018714.2']"
