dataset,cell_line,#_fusions_predicted,fusion_pred_list
gcsi,UACC-812,35,"['HDGF--S100A10', 'SRGAP2C--PRPF3', 'WIPF2--ERBB2', 'NBPF26--AC239809.1', 'PHF12--AC005562.1', 'PRPF3--SRGAP2', 'PHF12--LRRC37BP1', 'PPP1R12B--SNX27', 'PRPF3--SRGAP2', 'RRNAD1--CTSS', 'RRNAD1--CTSS', 'RRNAD1--CTSS', 'AKT3--P2RX5-TAX1BP3', 'RRNAD1--CTSS', 'WARS2--AKT3', 'C1orf21--AL136372.2', 'MAGI3--SUZ12P1', 'GPC6--PCDH9-AS2', 'ARID1A--WDTC1', 'MLLT6--PLXDC1', 'KIF18A--KRTAP5-2', 'LASP1--CSF3', 'BMP7--AL109806.2', 'ANP32E--IL24', 'ANP32E--IL24', 'ANP32E--IL24', 'WIPF2--TRPV1', 'GPC6--PCDH9-AS2', 'ATAD5--ARHGAP23', 'GTF2IP20--SUSD4', 'BRI3BP--UBC', 'GRB7--AL035410.2', 'SLX4IP--ASIP', 'EFCAB5--AC005562.1', 'SUZ12P1--MYO18A']"
gcsi,SU-DHL-10,2,"['THOC2--MTSS1', 'THOC2--MTSS1']"
gcsi,SW837,14,"['RBM12B--RAD54B', 'TAB2--PPP1R14C', 'RBM12B--RAD54B', 'ANKRD13C--PTGER3', 'RBM12B--RAD54B', 'RBM12B--RAD54B', 'RBM12B--RAD54B', 'SPRED2--RAB1A', 'SPRED2--RAB1A', 'MAGI3--AL596275.2', 'MAGI3--AL596275.2', 'SPRED2--AC007318.2', 'AC244102.4--GABRA3', 'AC073529.1--MID1']"
gcsi,SW1463,25,"['RPL36AL--LRR1', 'ARHGAP35--VRK3', 'ATP5F1A--SNTG1', 'ATP5F1A--SNTG1', 'LRR1--RPL36AL', 'NAP1L1--AC078923.1', 'NAP1L1--AC078923.1', 'VRK3--LIPE-AS1', 'VRK3--LIPE-AS1', 'VRK3--LIPE-AS1', 'VRK3--LIPE-AS1', 'VRK3--LIPE-AS1', 'VRK3--LIPE-AS1', 'UBE2N--AC124947.1', 'EEF1A1--CANX', 'AC124947.1--AC138123.1', 'SUPT20H--CHMP1B2P', 'MAVS--CDC25B', 'EEF2--RPL21', 'LINC00511--SLC39A11', 'LINC00511--SLC39A11', 'KANSL1--AC126544.2', 'LINC00511--SLC39A11', 'AC108865.1--AC110772.2', 'CFAP69--CLDN12']"
gcsi,HCT-116,12,"['COMMD10--AP3S1', 'PANK2--MAVS', 'PANK2--MAVS', 'SPAG9--MBTD1', 'SPAG9--MBTD1', 'TCF7L2--AL158212.1', 'SPAG9--MBTD1', 'TCF7L2--AL158212.1', 'TCF7L2--AL158212.1', 'LINC00511--SLC39A11', 'LINC00511--SLC39A11', 'LINC00511--SLC39A11']"
gcsi,NCI-H510A,74,"['MACF1--HEYL', 'TWSG1--PIK3C3', 'PPP4R3A--HEATR3', 'RAP2A--PCDH9-AS1', 'HDAC2--BEND3', 'JADE2--UBE2B', 'PTK2--PKHD1L1', 'R3HDM2--DCTN2', 'NFE2L1--SKAP1', 'FBXL3--TRPC4', 'CU104787.1--BAGE2', 'PTK2--PKHD1L1', 'BAZ1A--SFTA3', 'BAZ1A--SFTA3', 'BAZ1A--SFTA3', 'TBC1D3D--SMYD3', 'BAZ1A--SFTA3', 'CAPZB--LINC02241', 'PKHD1L1--ESRP1', 'XRCC6--ACO2', 'ELOVL6--ENPEP', 'BAZ1A--SFTA3', 'ELOVL6--ENPEP', 'TBC1D3D--SMYD3', 'KCNQ3--PCAT1', 'KCNQ3--PCAT1', 'PDS5B--AL159156.1', 'PPIEL--INPP5B', 'KCNQ3--PCAT1', 'CU104787.1--BAGE2', 'PLXND1--TMCC1', 'LINC02241--AL669831.3', 'PDXDC2P--AC009060.1', 'PDS5B--AL159156.1', 'CYLD--KLF3', 'PDS5B--AL159156.1', 'AC060765.2--CNGB3', 'UNC45A--DYRK1A', 'AC073529.1--MID1', 'TRIO--LINC02142', 'LINC02241--AL669831.3', 'CAPZB--LINC02241', 'LRP12--AC022973.2', 'LRP12--AC022973.2', 'PDXDC2P--AC009060.1', 'DUXAP9--AP000534.2', 'AC011586.2--MSR1', 'PCAT1--AC084116.3', 'AC073529.1--MID1', 'PDXDC2P--AC009060.1', 'AL139260.1--GRIK3', 'ARHGAP23--MRPL45', 'AC073529.1--MID1', 'AC006453.1--FAM230C', 'AC073529.1--MID1', 'UHRF1--PIAS4', 'PDXDC2P--AC009060.1', 'TMC5--TMC7', 'AC006453.1--FAM230C', 'TMC5--TMC7', 'AC244102.4--GABRA3', 'AC006453.1--FAM230C', 'AL391840.3--SH3BGRL2', 'VPS8--AGRN', 'UNC45A--DYRK1A', 'ADCY2--PRDM16', 'AC068756.1--AC108690.1', 'AL033527.2--BMP8B', 'AC011586.2--MSR1', 'AC069114.1--LINC01899', 'MMP26--OR51E1', 'CNRIP1--AC017083.3', 'AC068756.1--AC108690.1', 'FAM49B--AC103833.2']"
gcsi,MDST8,7,"['AL353138.1--PTCHD4', 'RAB8B--LINC02568', 'AC139887.1--CPLX1', 'AP003900.1--LINC01666', 'NBEAP1--IGH@-ext', 'AC009226.1--AC007879.3', 'CCBE1--FAM168A']"
gcsi,SU-DHL-5,2,"['CFAP299--BMP3', 'PGD--GNB1']"
gcsi,SW620,11,"['CDH13--AC073968.2', 'CDH13--AC073968.2', 'NSD1--ZNF346', 'AKAP13--PDE8A', 'ARNTL2--AC010197.1', 'AKAP13--PDE8A', 'ARNTL2--AC010185.1', 'USP45--FAXC', 'AC068756.1--AC108690.1', 'USP45--FAXC', 'CMC2--ARLNC1']"
gcsi,HCT-15,16,"['MGRN1--C16orf96', 'UBA2--GPI', 'CASC19--CASC8', 'GGA3--NUP85', 'NT5DC1--FRK', 'GGA3--NUP85', 'GGA3--NUP85', 'PLAUR--LYPD5', 'FRK--NT5DC1', 'FYN--KRT18P65', 'PRMT3--RBM4B', 'FYN--KRT18P65', 'FYN--KRT18P65', 'MBTD1--UTP18', 'PRKCH--AL355916.1', 'AL391840.3--SH3BGRL2']"
gcsi,Set-2,4,"['CNRIP1--AC017083.3', 'FO393400.1--NOL4L', 'FO393400.1--NOL4L', 'BCKDHB--AL359715.1']"
gcsi,WSU-DLCL2,9,"['TP53BP1--PSMA4', 'AKAP2--ACTG1', 'PVT1--AC108681.1', 'SCLT1--LINC02428', 'HACD2--HIP1', 'HACD2--HIP1', 'CHP1--AC020779.2', 'AC114498.2--RPL13A', 'BRI3BP--UBC']"
gcsi,HCC1806,39,"['CDCA5--LINC01986', 'POLA2--CAPN1', 'CDCA5--LINC01986', 'CDCA5--LINC01986', 'RFT1--UQCRC2', 'SMURF2--CEP112', 'TAX1BP1--AHCY', 'SMURF2--CEP112', 'WNK1--CWC22', 'AC010642.2--DPRX', 'LDLRAD3--TCP11L1', 'FAM222B--SEZ6', 'LDLRAD3--TCP11L1', 'RPA1--SMYD4', 'HS6ST2--GPC3', 'FAM222B--SEZ6', 'FAM222B--SEZ6', 'FAM222B--SEZ6', 'FAM222B--SEZ6', 'HS6ST2--GPC3', 'PTPRJ--LPXN', 'BABAM2--DPYSL5', 'GPR39--NCKAP5', 'REEP5--MCC', 'TXNDC11--LITAF', 'AL133342.1--PREX1', 'GALNT18--SBF2', 'MTDH--AP003465.1', 'MTDH--AP003465.1', 'MTDH--AP003465.1', 'RIF1--PKD1L1', 'REEP5--MCC', 'GALNT18--SBF2', 'ITGA6--CDC42SE2', 'RIF1--PKD1L1', 'WNK1--USP31', 'HBEGF--AC008438.2', 'HIRA--ARVCF', 'TRIM44--PCMTD1']"
gcsi,MDA-MB-361,32,"['EZR--OSTCP1', 'TMEM104--CDK12', 'TMEM104--CDK12', 'TMEM104--CDK12', 'TOX3--GNAO1', 'MAP1LC3B--ZNF821', 'CDYL--CDKAL1', 'CMTM4--AKR1C4', 'SUPT4H1--CEP112', 'BRIP1--VMP1', 'TANC2--PSMD12', 'TANC2--PSMD12', 'MAP1LC3B--ZNF821', 'TTC6--MIPOL1', 'TANC2--MTMR4', 'AL139042.1--CNR1', 'TANC2--MTMR4', 'CDYL--CDKAL1', 'MED13--BRIP1', 'TTC6--MIPOL1', 'AL139042.1--CNR1', 'MTMR4--CUEDC1', 'PPP2R2C--ADD1', 'AL139042.1--CNR1', 'AL139042.1--CNR1', 'STRADA--MED13', 'MARVELD3--GALNS', 'DDX42--PITPNC1', 'RAB22A--PHACTR3', 'TANGO6--CES4A', 'DOCK1--CSMD1', 'LRP6--STYK1']"
gcsi,RKO,2,"['RPL4--TSTA3', 'SNHG3--SNX5']"
gcsi,KNS-62,6,"['SMG1P3--GNPTG', 'SMG1P3--GNPTG', 'HSD17B4--TNFAIP8', 'HSD17B4--TNFAIP8', 'LPP--AC022498.1', 'AC068756.1--AC108690.1']"
gcsi,LS-180,2,"['GPHN--MPP5', 'OR51S1--TP53I11']"
gcsi,KARPAS-620,12,"['SMARCC1--PACS2', 'TBC1D5--PLCL2-AS1', 'AC106741.1--AC106729.1', 'AC006453.1--FAM230C', 'AC006453.1--FAM230C', 'AL139042.1--CNR1', 'AL139042.1--CNR1', 'AL033530.1--AL691520.1', 'CU104787.1--KMT2C', 'AL133342.1--PREX1', 'AC068446.2--AC060814.5', 'DUXAP9--AL512310.2']"
gcsi,HT-115,33,"['AC068658.1--LINC01184', 'CCZ1B--OCM', 'FLOT1--LINC00243', 'PACSIN2--TTLL1', 'CASC19--CASC8', 'CASC19--CASC8', 'CASC19--CASC8', 'ST14--LINC01184', 'CCDC34--LGR4', 'GPRC5A--RPL13AP20', 'GPRC5A--RPL13AP20', 'WIPF2--CASC3', 'CASC19--AC018714.2', 'DMPK--RSPH6A', 'SLC12A2--CCDC192', 'CASC19--AC018714.2', 'SLC12A2--CCDC192', 'SLC12A2--CCDC192', 'CREBL2--FAM234B', 'CASC19--AC018714.2', 'SLC12A2--CCDC192', 'SLC12A2--CCDC192', 'SLC12A2--CCDC192', 'SLC12A2--CCDC192', 'MAP2K6--SLC12A2', 'TGFBR2--LINC01985', 'TGFBR2--LINC01985', 'ZNF503-AS1--LRMDA', 'AC004009.1--AC007130.1', 'ADAP1--C7orf50', 'AC004009.1--AC007130.1', 'PFKFB3--LINC02649', 'CFD--LINC01836']"
gcsi,SW948,1,['USP12--LINC02340']
gcsi,HT-29,7,"['USP6NL--UPF2', 'MTMR3--APOH', 'MTMR3--APOH', 'ABHD12--PYGB', 'ATP2C1--LINC01208', 'ATP2C1--LINC01208', 'FAM120B--PRKN']"
gcsi,YAPC,22,"['MEGF6--PLCH2', 'VEGFA--KIF6', 'SIM2--RIPPLY3', 'VEGFA--KIF6', 'TFEB--TRERF1', 'CAMTA1--MRPS18A', 'AL391840.3--SH3BGRL2', 'TMEM120B--ORAI1', 'TFEB--TRERF1', 'SWAP70--WEE1', 'CAMTA1--MRPS18A', 'FOXP4-AS1--CCND3', 'CAMTA1--MRPS18A', 'PI4KA--AL592464.3', 'SWAP70--WEE1', 'PI4KA--AL592464.3', 'FOXP4-AS1--CCND3', 'AC004009.1--AC007130.1', 'ILRUN--AL109615.3', 'GNG12-AS1--SERPINC1', 'CCND3--WDR62', 'AC005993.1--RGS6']"
gcsi,ZR-75-30,36,"['DDX5--AP005717.2', 'DDX5--DEPTOR', 'USP32--CWC25', 'DDX5--AP005717.2', 'PRKDC--AC111149.2', 'MYO18A--AF228727.1', 'MYO18A--AF228727.1', 'BCAS3--HOXB9', 'PPM1D--TRAPPC9', 'TAOK1--PCGF2', 'PLEC--ENPP2', 'TRPS1--LASP1', 'DDX5--AC233699.1', 'HYLS1--TIMM23', 'TAOK1--LINC02071', 'TAOK1--LINC02071', 'PPM1D--RAD54B', 'SRCIN1--AC233699.1', 'SRCIN1--AC233699.1', 'PPP1R16A--ZFPM2-AS1', 'AC124319.1--TACC1', 'FSIP1--AC013652.1', 'CENPO--RAB10', 'AC124319.1--TACC1', 'AC124319.1--TACC1', 'AC068025.2--PCGF2', 'HOXC6--AC023794.1', 'BCAS3--TMEM71', 'PHF20L1--AC068413.1', 'ERBB2--BCAS3', 'ZFPM2-AS1--SLC13A2', 'PRKCH--AL355916.1', 'NFE2L1--TOP1MT', 'USP32--SMURF2', 'ZFPM2-AS1--SLC13A2', 'ZMYM4--OPRD1']"
gcsi,SR,7,"['NPM1--ALK', 'CBWD2--NPM1P27', 'CBWD1--NPM1', 'PFKFB3--LINC02649', 'CIRBP-AS1--SBNO2', 'AL109761.1--CHODL', 'YAF2--RYBP']"
gcsi,SW1573,24,"['NEAT1--LTBP3', 'NEAT1--LTBP3', 'LARP4B--TSPAN33', 'LARP4B--TSPAN33', 'TCF7L1--TMSB10', 'SMURF2--DDX5', 'SMURF2--DDX5', 'TCF7L1--TMSB10', 'ME2--DCC', 'IL1RAPL1--AC005185.1', 'IL1RAPL1--AC005185.1', 'CLTC--VMP1', 'TXNRD1--CHST11', 'AL353138.1--PTCHD4', 'CLTC--VMP1', 'CLTC--VMP1', 'TXNRD1--CHST11', 'TXNRD1--CHST11', 'LINC02643--NEBL', 'LINC02643--NEBL', 'LINC02643--NEBL', 'RF01956--LTBP3', 'AC073529.1--MID1', 'AC073529.1--MID1']"
gcsi,SW780,24,"['AC124319.1--BAIAP2', 'FGFR3--BAIAP2L1', 'RABGAP1--PCSK5', 'RABGAP1--PCSK5', 'GSN--NMRK1', 'GSN--NMRK1', 'USP54--VSTM4', 'RBM6--DOCK3', 'ZNF488--CTNNA3', 'CTNNA3--LIPK', 'ZNF488--CTNNA3', 'RBM6--DOCK3', 'CTNNA3--LIPK', 'PPP1R12A--AC027288.3', 'PSMD11--RHOT1', 'FHOD3--SLC25A4', 'CCDC18-AS1--EVI5', 'PPP1R12A--AC027288.3', 'CCDC18-AS1--EVI5', 'PPP1R12A--AC027288.3', 'FHOD3--SLC25A4', 'FCHSD2--AP002381.2', 'CCDC18-AS1--EVI5', 'ACTN4--EEF1A1']"
gcsi,SW403,6,"['DNAJC3--VWA8', 'PRSS3--AL356489.4', 'TNIP2--NOP14-AS1', 'PRSS3--AL356489.4', 'TNIP2--NOP14-AS1', 'LRCH1--UBE2L5']"
gcsi,COLO-741,14,"['MAFK--SLC29A4', 'ST7--BAIAP2L1', 'MYO1D--ASIC2', 'DUXAP10--AL512310.2', 'SLC29A4--TRRAP', 'PRKRIP1--ST7', 'FHOD3--DLGAP1', 'MAGEC1--AL031073.2', 'PRKAG2--LINC01006', 'LRMDA--ZNF503-AS1', 'AFG1L--FOXO3', 'APC2--DAZAP1', 'RAB38--AP000676.5', 'AC211476.5--CCDC146']"
gcsi,SNU-C1,15,"['APIP--SLC1A2', 'CHD2--STARD9', 'CEMIP--AC015712.1', 'RAB14--C5', 'CYFIP1--USP3', 'CEMIP--AC015712.1', 'CEMIP--AC015712.1', 'FAN1--CHRFAM7A', 'SLC33A1--PLCH1', 'SPG11--DAPK2', 'LMNTD2--SLC1A2', 'PAQR5--IQCH', 'RASSF7--AC100768.2', 'AL391840.3--SH3BGRL2', 'AC133041.1--ENPP7P2']"
gcsi,SU-DHL-6,16,"['PVT1--ZCCHC7', 'PVT1--ZCCHC7', 'PVT1--ZCCHC7', 'POU2F2--FRG1KP', 'ICMT--SZRD1', 'FBXO10--CBWD1', 'CBWD5--FBXO10', 'CBWD5--FBXO10', 'ICMT--SZRD1', 'AL135905.2--EEF1A1P5', 'SENP3-EIF4A1--EIF5A', 'YAF2--RYBP', 'CDKN1A--PTP4A1', 'ABR--GEMIN4', 'AL645568.1--TNFSF4', 'ACTB--PTMA']"
gcsi,CL-40,3,"['AC004009.1--AC007130.1', 'AC004009.1--AC007130.1', 'SNHG3--SERINC2']"
gcsi,DU-145,9,"['RTRAF--SLC25A21', 'UBE2L3--KRAS', 'LDLR--RPL31P11', 'AC245140.2--TKTL1', 'CASP7--PLEKHS1', 'CASP7--PLEKHS1', 'AC245140.2--TKTL1', 'AC245140.2--TKTL1', 'LDLR--AL451067.1']"
gcsi,HT55,5,"['MAP7--MAP3K5', 'MAP4--SMARCC1', 'MAP4--SMARCC1', 'CMC2--ARLNC1', 'RABEP1--ALG14']"
gcsi,SW48,9,"['ARRDC1--EHMT1', 'DUXAP9--AL512310.2', 'PTMA--NCL', 'TSKU--ACER3', 'TSKU--ACER3', 'PTMA--HSP90AB1', 'PSMD1--CAB39', 'ACTB--EEF2', 'AC073529.1--MID1']"
gcsi,U-266,34,"['ARFIP1--FNDC3B', 'COX16--TMEM106B', 'GAB1--AC097658.2', 'AC097374.1--CYP4F32P', 'AC011586.2--MSR1', 'MED28--AC097512.1', 'AC097374.1--CYP4F32P', 'MED28--AC097512.1', 'FNDC3B--ARFIP1', 'LINC02384--MDM1', 'LINC02384--MDM1', 'LINC02384--MDM1', 'LINC02384--MDM1', 'LINC02384--MDM1', 'LINC02384--MDM1', 'MED28--AC097512.1', 'MED28--AC097512.1', 'GAB1--USP38', 'MIR4713HG--GLDN', 'MIR4713HG--GLDN', 'MIR4713HG--GLDN', 'MIR4713HG--GLDN', 'EIF2AK2--PRKD3', 'AL391840.3--SH3BGRL2', 'AC009271.1--AC009271.2', 'FBXL13--AC105052.5', 'AQR--RTL6', 'LINC00508--AC025160.1', 'AC106741.1--AC106729.1', 'LINC00508--AC025160.1', 'RASA4--ZHX1-C8orf76', 'RASA4--ZHX1-C8orf76', 'AC006453.1--FAM230C', 'AVL9--ZNRF2P1']"
gcsi,C2BBe1,9,"['DPP3--SLC46A1', 'DPP3--SLC46A1', 'DPP3--SLC46A1', 'PEX14--PTPN14', 'AP003327.2--AP003500.1', 'BRCA2--N4BP2L2', 'AP003327.2--AP003500.1', 'AL391840.3--SH3BGRL2', 'PEX14--AL929236.1']"
gcsi,SUIT-2,18,"['TUBA1C--ENDOV', 'HNF4A--R3HDML', 'HNF4A--R3HDML', 'HNF4A--R3HDML', 'MCUB--TUBA1C', 'ARHGEF40--DHX30', 'ARHGEF40--DHX30', 'MCUB--TUBA1A', 'ARHGEF40--DHX30', 'ARHGEF40--DHX30', 'REV3L--TRERF1', 'RNF41--AC121758.1', 'REV3L--TRERF1', 'ROCK2--E2F6', 'AL391840.3--SH3BGRL2', 'RPS6KB1--VMP1', 'AKAP13--AC044860.3', 'UTRN--AC016629.2']"
gcsi,SW1116,6,"['ZNF462--SMC2', 'ZNF462--SMC2', 'AC104035.1--SLCO3A1', 'AC104035.1--SLCO3A1', 'PARGP1--MARCH8', 'AC104035.1--SLCO3A1']"
