dataset,cell_line,#_fusions_predicted,fusion_pred_list
gdsc,UACC-812,43,"['HDGF--S100A10', 'WIPF2--ERBB2', 'PPP1R12B--SNX27', 'NBPF26--AC239809.1', 'SRGAP2--PRPF3', 'PRPF3--SRGAP2', 'ARID1A--WDTC1', 'LMO7--SCEL', 'WIPF2--ERBB2', 'PHF12--AC005562.1', 'PHF12--AC005562.1', 'MLLT6--PLXDC1', 'SUZ12P1--MYO18A', 'SUZ12P1--MYO18A', 'MLLT6--PLXDC1', 'OSMR--NAV3', 'SDCBP--ASB12', 'LMO7-AS1--TPX2', 'AKT3--P2RX5-TAX1BP3', 'SUZ12P1--MYO18A', 'WARS2--AKT3', 'LMO7--SCEL', 'RRNAD1--CTSS', 'LASP1--CSF3', 'PHF12--AC005562.1', 'GTF2IP20--SUSD4', 'PFKFB3--LINC02649', 'USP22--RN7SL2', 'ABI2--BMP10', 'CPAMD8--HAUS8', 'GPC6--PCDH9-AS2', 'SPATA13--CERNA1', 'RRNAD1--CTSS', 'RRNAD1--CTSS', 'ABI2--BMP10', 'GRB7--AL035410.2', 'RRNAD1--CTSS', 'C1orf21--AL136372.2', 'CDC6--IKZF3', 'RRNAD1--CTSS', 'WARS2--AKT3', 'LMO7-AS1--TPX2', 'USP22--RN7SL5P']"
gdsc,SU-DHL-10,2,"['THOC2--MTSS1', 'THOC2--MTSS1']"
gdsc,SW837,11,"['ANKRD13C--PTGER3', 'TAB2--PPP1R14C', 'RBM12B--RAD54B', 'SPRED2--RAB1A', 'RBM12B--RAD54B', 'RBM12B--RAD54B', 'RBM12B--RAD54B', 'RBM12B--RAD54B', 'RBM12B--RAD54B', 'SPRED2--RAB1A', 'PFKFB3--LINC02649']"
gdsc,SW1463,14,"['ARHGAP35--VRK3', 'ATP5F1A--SNTG1', 'RPL36AL--LRR1', 'LRR1--RPL36AL', 'NAP1L1--AC078923.1', 'ATP5F1A--SNTG1', 'VRK3--LIPE-AS1', 'VRK3--LIPE-AS1', 'NAP1L1--AC078923.1', 'AC108865.1--AC110772.2', 'SUPT20H--CHMP1B2P', 'VRK3--LIPE-AS1', 'UBE2N--AC124947.1', 'PFKFB3--LINC02649']"
gdsc,HCT-116,14,"['COMMD10--AP3S1', 'PANK2--MAVS', 'TCF7L2--AL158212.1', 'FAM172A--NR2F1-AS1', 'SPAG9--MBTD1', 'TCF7L2--AL158212.1', 'TCF7L2--AL158212.1', 'FAM172A--NR2F1-AS1', 'GNPTAB--WASHC3', 'FAM172A--NR2F1-AS1', 'AL353138.1--PTCHD4', 'SPAG9--MBTD1', 'AC211476.5--CCDC146', 'MIR4713HG--GLDN']"
gdsc,NCI-H510A,51,"['MACF1--HEYL', 'PPP4R3A--HEATR3', 'TWSG1--PIK3C3', 'RAP2A--PCDH9-AS1', 'JADE2--UBE2B', 'PTK2--PKHD1L1', 'IQSEC1--WNT7A', 'CU104787.1--BAGE2', 'HDAC2--BEND3', 'R3HDM2--DCTN2', 'TRIO--LINC02142', 'TBC1D3D--SMYD3', 'CAPZB--LINC02241', 'FBXL3--TRPC4', 'NFE2L1--SKAP1', 'ELOVL6--ENPEP', 'BAZ1A--SFTA3', 'CU104787.1--BAGE2', 'BAZ1A--SFTA3', 'BAZ1A--SFTA3', 'ELOVL6--ENPEP', 'PDXDC2P--AC009060.1', 'BAZ1A--SFTA3', 'KCNQ3--PCAT1', 'XRCC6--ACO2', 'KCNQ3--PCAT1', 'BAZ1A--SFTA3', 'ELOVL6--ENPEP', 'ARHGAP23--MRPL45', 'KCNQ3--PCAT1', 'PDXDC2P--AC009060.1', 'AC006453.1--FAM230C', 'AL033530.1--AL691520.1', 'CYLD--KLF3', 'TMC5--TMC7', 'PKHD1L1--ESRP1', 'AC068756.1--AC108690.1', 'PDS5B--AL159156.1', 'TBC1D3D--SMYD3', 'KCNQ3--PCAT1', 'AC069114.1--LINC01899', 'AC068756.1--AC108690.1', 'PDXDC2P--AC009060.1', 'VPS8--AGRN', 'AC011586.2--MSR1', 'AC069114.1--LINC01899', 'CAPZB--LINC02241', 'PDXDC2P--AC009060.1', 'AC073529.1--MID1', 'PLXND1--TMCC1', 'AL391840.3--SH3BGRL2']"
gdsc,MDST8,3,"['AL353138.1--PTCHD4', 'AC139887.1--CPLX1', 'NBEAP1--IGH@-ext']"
gdsc,SU-DHL-5,2,"['LRP3--IGL@-ext', 'MFSD14B--AL691447.2']"
gdsc,SW620,10,"['CDH13--AC073968.2', 'CDH13--AC073968.2', 'CDH13--AC073968.2', 'NSD1--ZNF346', 'AKAP13--PDE8A', 'ARNTL2--AC010197.1', 'USP45--FAXC', 'AC068756.1--AC108690.1', 'AC068756.1--AC108690.1', 'USP45--FAXC']"
gdsc,HCT-15,15,"['MGRN1--C16orf96', 'UBA2--GPI', 'NCOA3--SPINT1', 'NT5DC1--FRK', 'CASC19--CASC8', 'FRK--NT5DC1', 'GGA3--NUP85', 'PLAUR--LYPD5', 'MBTD1--UTP18', 'FYN--KRT18P65', 'GGA3--NUP85', 'FYN--KRT18P65', 'NT5DC3--TTC41P', 'FYN--KRT18P65', 'PRMT3--RBM4B']"
