partner,#_occurences,labs_found_in,cells_found_in,partners
SH3BGRL2,24,"['ccle', 'ccle', 'ccle', 'ccle', 'ccle', 'ccle', 'ccle', 'ccle', 'ccle', 'gcsi', 'gcsi', 'gcsi', 'gcsi', 'gcsi', 'gcsi', 'gcsi', 'gcsi', 'gdsc', 'gdsc', 'gdsc', 'gdsc', 'gdsc', 'gdsc', 'gdsc']","['NCI-H510A', 'Set-2', 'SW948', 'YAPC', 'SR', 'SW1573', 'SNU-C1', 'C2BBe1', 'KU812', 'NCI-H510A', 'HCT-15', 'YAPC', 'SNU-C1', 'U-266', 'C2BBe1', 'SUIT-2', 'KU812', 'NCI-H510A', 'KNS-62', 'YAPC', 'SW1573', 'SW780', 'C2BBe1', 'KU812']","['AL391840.3', 'AL391840.3', 'AL391840.3', 'AL391840.3', 'AL391840.3', 'AL391840.3', 'AL391840.3', 'AL391840.3', 'AL391840.3', 'AL391840.3', 'AL391840.3', 'AL391840.3', 'AL391840.3', 'AL391840.3', 'AL391840.3', 'AL391840.3', 'AL391840.3', 'AL391840.3', 'AL391840.3', 'AL391840.3', 'AL391840.3', 'AL391840.3', 'AL391840.3', 'AL391840.3']"
AC108690.1,9,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gcsi', 'gdsc', 'gdsc', 'gdsc', 'gdsc']","['SW620', 'COLO-741', 'NCI-H510A', 'SW620', 'KNS-62', 'NCI-H510A', 'SW620', 'HCC1806', 'KNS-62']","['AC068756.1', 'AC068756.1', 'AC068756.1', 'AC068756.1', 'AC068756.1', 'AC068756.1', 'AC068756.1', 'AC068756.1', 'AC068756.1']"
PTCHD4,9,"['ccle', 'ccle', 'ccle', 'gcsi', 'gcsi', 'gdsc', 'gdsc', 'gdsc', 'gdsc']","['MDST8', 'SW1573', 'CL-40', 'MDST8', 'SW1573', 'HCT-116', 'MDST8', 'SW1573', 'CL-40']","['AL353138.1', 'AL353138.1', 'AL353138.1', 'AL353138.1', 'AL353138.1', 'AL353138.1', 'AL353138.1', 'AL353138.1', 'AL353138.1']"
TRERF1,8,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gcsi', 'gdsc', 'gdsc', 'gdsc']","['YAPC', 'HCC1187', 'YAPC', 'SUIT-2', 'HCC1187', 'YAPC', 'SUIT-2', 'HCC1187']","['TFEB', 'PUM1', 'TFEB', 'REV3L', 'PUM1', 'TFEB', 'REV3L', 'PUM1']"
AC007130.1,8,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gcsi', 'gdsc', 'gdsc', 'gdsc']","['HT-115', 'CL-40', 'HT-115', 'YAPC', 'CL-40', 'HT-115', 'YAPC', 'CL-40']","['AC004009.1', 'AC004009.1', 'AC004009.1', 'AC004009.1', 'AC004009.1', 'AC004009.1', 'AC004009.1', 'AC004009.1']"
PCGF2,7,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['TAOK1', 'AC068025.2', 'CBX1', 'TAOK1', 'AC068025.2', 'TAOK1', 'AC068025.2']"
LINC01184,7,"['ccle', 'gcsi', 'gdsc']","['HT-115', 'HT-115', 'HT-115']","['AC068658.1', 'ST14', 'AC068658.1', 'ST14', 'AC068658.1', 'ST14', 'FCHSD2']"
FAM230C,7,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gcsi', 'gdsc', 'gdsc']","['NCI-H510A', 'KARPAS-620', 'NCI-H510A', 'KARPAS-620', 'U-266', 'NCI-H510A', 'KARPAS-620']","['AC006453.1', 'AC006453.1', 'AC006453.1', 'AC006453.1', 'AC006453.1', 'AC006453.1', 'AC006453.1']"
MID1,7,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gcsi', 'gcsi', 'gdsc']","['NCI-H510A', 'HT55', 'SW837', 'NCI-H510A', 'SW1573', 'SW48', 'NCI-H510A']","['AC073529.1', 'AC073529.1', 'AC073529.1', 'AC073529.1', 'AC073529.1', 'AC073529.1', 'AC073529.1']"
MSR1,7,"['ccle', 'ccle', 'ccle', 'gcsi', 'gcsi', 'gdsc', 'gdsc']","['SW837', 'NCI-H510A', 'KNS-62', 'NCI-H510A', 'U-266', 'NCI-H510A', 'KNS-62']","['AC011586.2', 'AC011586.2', 'AC011586.2', 'AC011586.2', 'AC011586.2', 'AC011586.2', 'AC011586.2']"
AC017083.3,7,"['ccle', 'ccle', 'ccle', 'gcsi', 'gcsi', 'gcsi', 'gdsc']","['NCI-H510A', 'Set-2', 'KU812', 'NCI-H510A', 'Set-2', 'KU812', 'Set-2']","['CNRIP1', 'CNRIP1', 'CNRIP1', 'CNRIP1', 'CNRIP1', 'CNRIP1', 'CNRIP1']"
AC233699.1,6,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']","['DDX5', 'SRCIN1', 'DDX5', 'SRCIN1', 'SRCIN1', 'DDX5']"
SLC1A2,6,"['ccle', 'gcsi', 'gdsc']","['SNU-C1', 'SNU-C1', 'SNU-C1']","['APIP', 'LMNTD2', 'APIP', 'LMNTD2', 'APIP', 'LMNTD2']"
VMP1,6,"['ccle', 'gcsi', 'gcsi', 'gcsi', 'gdsc', 'gdsc']","['MDA-MB-361', 'MDA-MB-361', 'SW1573', 'SUIT-2', 'MDA-MB-361', 'SW1573']","['BRIP1', 'BRIP1', 'CLTC', 'RPS6KB1', 'BRIP1', 'CLTC']"
RAD54B,6,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gdsc', 'gdsc']","['SW837', 'ZR-75-30', 'SW837', 'ZR-75-30', 'SW837', 'ZR-75-30']","['RBM12B', 'PPM1D', 'RBM12B', 'PPM1D', 'RBM12B', 'PPM1D']"
BAIAP2L1,6,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gdsc', 'gdsc']","['SW780', 'COLO-741', 'SW780', 'COLO-741', 'SW780', 'COLO-741']","['FGFR3', 'ST7', 'FGFR3', 'ST7', 'FGFR3', 'ST7']"
PDE8A,6,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gdsc', 'gdsc']","['SW620', 'HCC1187', 'SW620', 'HCC1187', 'SW620', 'HCC1187']","['AKAP13', 'AKAP13', 'AKAP13', 'AKAP13', 'AKAP13', 'AKAP13']"
