n_datasets_agree,cell_line,#_fusions_predicted,#_fusions_rejected,dataset_list,fusion_pred_list,fusion_reject_list
1,UACC-812,40,0,"['ccle', 'gcsi', 'gdsc']","['HDGF--S100A10', 'WIPF2--ERBB2', 'PRPF3--SRGAP2', 'SRGAP2C--PRPF3', 'RRNAD1--CTSS', 'PHF12--LRRC37BP1', 'LASP1--CSF3', 'LMO7--SCEL', 'PPP1R12B--SNX27', 'NBPF26--AC239809.1', 'WARS2--AKT3', 'PHF12--AC005562.1', 'AKT3--P2RX5-TAX1BP3', 'C1orf21--AL136372.2', 'MAGI3--SUZ12P1', 'GPC6--PCDH9-AS2', 'ARID1A--WDTC1', 'MLLT6--PLXDC1', 'KIF18A--KRTAP5-2', 'BMP7--AL109806.2', 'ANP32E--IL24', 'WIPF2--TRPV1', 'ATAD5--ARHGAP23', 'GTF2IP20--SUSD4', 'BRI3BP--UBC', 'GRB7--AL035410.2', 'SLX4IP--ASIP', 'EFCAB5--AC005562.1', 'SUZ12P1--MYO18A', 'SRGAP2--PRPF3', 'OSMR--NAV3', 'SDCBP--ASB12', 'LMO7-AS1--TPX2', 'PFKFB3--LINC02649', 'USP22--RN7SL2', 'ABI2--BMP10', 'CPAMD8--HAUS8', 'SPATA13--CERNA1', 'CDC6--IKZF3', 'USP22--RN7SL5P']",[]
1,SU-DHL-10,2,0,"['ccle', 'gcsi', 'gdsc']","['THOC2--MTSS1', 'ZNF654--HMGB2']",[]
1,SW837,11,0,"['ccle', 'gcsi', 'gdsc']","['RBM12B--RAD54B', 'ANKRD13C--PTGER3', 'SPRED2--RAB1A', 'HAND2-AS1--LINC02269', 'AC011586.2--MSR1', 'TAB2--PPP1R14C', 'MAGI3--AL596275.2', 'SPRED2--AC007318.2', 'AC244102.4--GABRA3', 'AC073529.1--MID1', 'PFKFB3--LINC02649']",[]
1,SW1463,21,0,"['ccle', 'gcsi', 'gdsc']","['LRR1--RPL36AL', 'RPL36AL--LRR1', 'TRIT1--LRRC59', 'MID1--ZFX', 'ATP5F1A--SNTG1', 'ARHGAP35--VRK3', 'VASP--SNHG30', 'KANSL1--GPI', 'NAP1L1--AC078923.1', 'VRK3--LIPE-AS1', 'UBE2N--AC124947.1', 'EEF1A1--CANX', 'AC124947.1--AC138123.1', 'SUPT20H--CHMP1B2P', 'MAVS--CDC25B', 'EEF2--RPL21', 'LINC00511--SLC39A11', 'KANSL1--AC126544.2', 'AC108865.1--AC110772.2', 'CFAP69--CLDN12', 'PFKFB3--LINC02649']",[]
1,HCT-116,11,0,"['ccle', 'gcsi', 'gdsc', 'nci60']","['COMMD10--AP3S1', 'PANK2--MAVS', 'TCF7L2--AL158212.1', 'SPAG9--MBTD1', 'LINC00511--SLC39A11', 'RAD18--OXTR', 'FAM172A--NR2F1-AS1', 'GNPTAB--WASHC3', 'AL353138.1--PTCHD4', 'AC211476.5--CCDC146', 'MIR4713HG--GLDN']",[]
1,NCI-H510A,54,0,"['ccle', 'gcsi', 'gdsc']","['MACF1--HEYL', 'TWSG1--PIK3C3', 'PPP4R3A--HEATR3', 'RAP2A--PCDH9-AS1', 'PTK2--PKHD1L1', 'JADE2--UBE2B', 'HDAC2--BEND3', 'TBC1D3L--SMYD3', 'CU104787.1--BAGE2', 'BAZ1A--SFTA3', 'CAPZB--LINC02241', 'NFE2L1--SKAP1', 'PKHD1L1--ESRP1', 'XRCC6--ACO2', 'ARHGAP23--MRPL45', 'R3HDM2--DCTN2', 'AC006453.1--FAM230C', 'ELOVL6--ENPEP', 'PDS5B--AL159156.1', 'PDXDC2P--AC009060.1', 'KCNQ3--PCAT1', 'FBXL3--TRPC4', 'PPIEL--INPP5B', 'PTMA--NCL', 'CNRIP1--AC017083.3', 'UNC45A--DYRK1A', 'TRIO--LINC02142', 'VPS8--AGRN', 'LRP12--AC022973.2', 'AL391840.3--SH3BGRL2', 'PLXND1--TMCC1', 'LMCD1-AS1--AC077690.1', 'CYLD--KLF3', 'LINC02241--AL669831.3', 'AC011586.2--MSR1', 'OXR1--PTK2', 'TCEA2--ITGAE', 'AC073529.1--MID1', 'TBC1D3D--SMYD3', 'AC060765.2--CNGB3', 'DUXAP9--AP000534.2', 'PCAT1--AC084116.3', 'AL139260.1--GRIK3', 'UHRF1--PIAS4', 'TMC5--TMC7', 'AC244102.4--GABRA3', 'ADCY2--PRDM16', 'AC068756.1--AC108690.1', 'AL033527.2--BMP8B', 'AC069114.1--LINC01899', 'MMP26--OR51E1', 'FAM49B--AC103833.2', 'IQSEC1--WNT7A', 'AL033530.1--AL691520.1']",[]
1,MDST8,8,0,"['ccle', 'gcsi', 'gdsc']","['AL353138.1--PTCHD4', 'RAB8B--LINC02568', 'AC139887.1--CPLX1', 'UBB--UBA52', 'AP003900.1--LINC01666', 'NBEAP1--IGH@-ext', 'AC009226.1--AC007879.3', 'CCBE1--FAM168A']",[]
1,SU-DHL-5,5,0,"['ccle', 'gcsi', 'gdsc']","['AC004687.1--MCM7', 'CFAP299--BMP3', 'PGD--GNB1', 'LRP3--IGL@-ext', 'MFSD14B--AL691447.2']",[]
1,SW620,11,0,"['ccle', 'gcsi', 'gdsc', 'nci60']","['CDH13--AC073968.2', 'NSD1--ZNF346', 'AKAP13--PDE8A', 'ARNTL2--AC010197.1', 'PTMA--NCL', 'USP45--FAXC', 'AC068756.1--AC108690.1', 'CMC2--ARLNC1', 'LIMK2--DEPDC5', 'AL445647.1--MIR4500HG', 'ARNTL2--AC010185.1']",[]
1,HCT-15,16,0,"['ccle', 'gcsi', 'gdsc', 'nci60']","['CASC19--CASC8', 'MGRN1--C16orf96', 'NT5DC1--FRK', 'UBA2--GPI', 'GGA3--NUP85', 'FRK--NT5DC1', 'PRMT3--RBM4B', 'NT5DC3--TTC41P', 'MBTD1--UTP18', 'PLAUR--LYPD5', 'ZNF654--HMGB2', 'CASC19--AC018714.2', 'FYN--KRT18P65', 'PRKCH--AL355916.1', 'AL391840.3--SH3BGRL2', 'NCOA3--SPINT1']",[]
