dataset,cell,accuracy,precision,#TP,#GT,#FP,TP_list,FP_list
ccle,BT474,0.9565217391304348,0.5641025641025641,22,23,17,"['THRA--AC090627.1', 'ZMYND8--CEP250', 'ACACA--STAC2', 'RPS6KB1--SNF8', 'TOB1--SYNRG', 'STX16--RAE1', 'TRPC4AP--MRPL45', 'MED1--STXBP4', 'AHCTF1--NAAA', 'STARD3--DOK5', 'RAB22A--MYO9B', 'MED1--ACSF2', 'GLB1--CMTM7', 'VAPB--IKZF3', 'FAM102A--CIZ1', 'MED13--BCAS3', 'PIP4K2B--RAD51C', 'SKA2--MYO19', 'CPNE1--PI3', 'USP32--MED1', 'DIDO1--TTI1', 'LAMP1--MCF2L']","['ASTN2--AL354754.1', 'TPM4--SYCE2', 'FITM2--UQCC1', 'MEF2D--OR10J1', 'PPP1R12A--MGAT4C', 'RBM12--PI3', 'TRIM37--MYO19', 'ZFP64--PHACTR3', 'BCAS3--AC034268.2', 'POLA2--MAP3K11', 'NCOA2--ZNF704', 'FCHSD2--LRTOMT', 'AC025048.4--HEATR6', 'ERBB2--LASP1', 'CYP4F8--ILVBL', 'PPP1R9A--WDR66', 'ERBB2--RPL8']"
ccle,MCF7,0.8666666666666667,0.25,13,15,39,"['BCAS4--BCAS3', 'ARFGEF2--SULF2', 'RPS6KB1--VMP1', 'RPS6KB1--DIAPH3', 'PAPOLA--AK7', 'ADAMTS19--SLC27A6', 'SMARCA4--CARM1', 'AC099850.1--VMP1', 'MYO9B--FCHO1', 'MYH9--EIF3D', 'ATXN7L3--FAM171A2', 'AHCYL1--RAD51C', 'SULF2--PRICKLE2']","['TXLNG--SYAP1', 'TANC2--CA4', 'GCN1--MSI1', 'DEPDC1B--ELOVL7', 'POP1--MATN2', 'RSBN1--AP4B1-AS1', 'TAF4--BRIP1', 'MYO6--SENP6', 'USP32--APPBP2', 'ELP2--FP236383.1', 'SMARCC1--EMCN', 'NAV1--GPR37L1', 'ABCA5--PPP4R1L', 'BCAS4--ZMYND8', 'ESR1--CCDC170', 'ATP1A1--ZFP64', 'EIF3H--RAD21', 'AC011921.1--PLPPR5', 'GATAD2B--NUP210L', 'TBL1XR1--RGS17', 'RAD51C--ATXN7', 'ARRB1--KLHL35', 'TTC6--AL121790.1', 'MTAP--CDKN2B-AS1', 'PDE8A--SCAND2P', 'BCAS3--ATXN7', 'LEMD3--AC002375.1', 'UBE2E2--LINC02005', 'BMERB1--ABCC1', 'NCOA3--LINC01661', 'BCAS4--LINC01441', 'GATAD2A--MAU2', 'AC010173.1--SLC16A7', 'ATP9A--AL357558.2', 'PARD6B--BCAS3', 'SARNP--MMP19', 'UBB--UBA52', 'PRKCH--AL355916.1', 'SIAH2-AS1--AC020636.1']"
ccle,SKBR3,0.75,0.4090909090909091,9,12,13,"['TATDN1--GSDMB', 'CYTH1--EIF3H', 'SUMF1--LRRFIP2', 'PREX1--CPNE1', 'CSE1L--AL035685.1', 'RARA--PKIA', 'KLHDC2--SNTB1', 'CCDC85C--SETD3', 'DHX35--ITCH']","['ANKHD1-EIF4EBP3--PCDH1', 'NCOA2--AC004083.1', 'ACOT8--WASH3P', 'TAF2--COLEC10', 'ATAD5--TLK2', 'VSTM2L--CTNNBL1', 'SAMD12--MRPL13', 'KPNA6--KHDRBS1', 'TBC1D31--ZNF704', 'TRAM1--AC004083.1', 'TRIO--FBXL7', 'PBRM1--WDR82', 'OR51S1--TP53I11']"
edgren,BT474,0.8695652173913043,0.7692307692307693,20,23,6,"['THRA--AC090627.1', 'ACACA--STAC2', 'RPS6KB1--SNF8', 'TOB1--SYNRG', 'VAPB--IKZF3', 'AHCTF1--NAAA', 'STX16--RAE1', 'ZMYND8--CEP250', 'MED1--ACSF2', 'MED1--STXBP4', 'RAB22A--MYO9B', 'MED13--BCAS3', 'SKA2--MYO19', 'STARD3--DOK5', 'TRPC4AP--MRPL45', 'DIDO1--TTI1', 'PIP4K2B--RAD51C', 'GLB1--CMTM7', 'CPNE1--PI3', 'LAMP1--MCF2L']","['BRD4--RFX1', 'ASTN2--AL354754.1', 'AC025048.4--HEATR6', 'TRIM37--MYO19', 'ERN1--TBC1D3P1', 'TADA2A--AL589743.4']"
edgren,BT474-S,0.8260869565217391,0.8260869565217391,19,23,4,"['THRA--AC090627.1', 'ACACA--STAC2', 'TOB1--SYNRG', 'VAPB--IKZF3', 'RPS6KB1--SNF8', 'ZMYND8--CEP250', 'AHCTF1--NAAA', 'STX16--RAE1', 'MED1--STXBP4', 'SKA2--MYO19', 'RAB22A--MYO9B', 'MED13--BCAS3', 'STARD3--DOK5', 'DIDO1--TTI1', 'MED1--ACSF2', 'GLB1--CMTM7', 'TRPC4AP--MRPL45', 'USP32--MED1', 'PIP4K2B--RAD51C']","['BRD4--RFX1', 'FITM2--UQCC1', 'MEF2D--OR10J1', 'PTMA--EEF1A2']"
edgren,MCF7,0.6,0.47368421052631576,9,15,10,"['BCAS4--BCAS3', 'ARFGEF2--SULF2', 'AC099850.1--VMP1', 'RPS6KB1--VMP1', 'PAPOLA--AK7', 'SMARCA4--CARM1', 'MYO9B--FCHO1', 'SULF2--PRICKLE2', 'ADAMTS19--SLC27A6']","['RSBN1--AP4B1-AS1', 'TXLNG--SYAP1', 'LRP1B--PLXDC1', 'AC114498.2--RPL13A', 'BPTF--PITPNC1', 'BMERB1--ABCC1', 'ATP1A1--ZFP64', 'AC053481.3--DIAPH3', 'AL133342.1--PREX1', 'AL669831.3--NME2']"
edgren,SKBR3-0,0.5,0.6,6,12,4,"['TATDN1--GSDMB', 'CYTH1--EIF3H', 'SUMF1--LRRFIP2', 'RARA--PKIA', 'CSE1L--AL035685.1', 'CCDC85C--SETD3']","['ANKHD1-EIF4EBP3--PCDH1', 'ACOT8--WASH2P', 'ATAD5--TLK2', 'TBC1D31--ZNF704']"
edgren,SKBR3-1,0.6666666666666666,0.6153846153846154,8,12,5,"['TATDN1--GSDMB', 'CYTH1--EIF3H', 'CSE1L--AL035685.1', 'RARA--PKIA', 'SUMF1--LRRFIP2', 'CCDC85C--SETD3', 'DHX35--ITCH', 'KLHDC2--SNTB1']","['ANKHD1-EIF4EBP3--PCDH1', 'ACOT8--WASH3P', 'TBC1D31--ZNF704', 'VSTM2L--CTNNBL1', 'BLOC1S6--AKAP13']"
edgren,KPL4,1.0,0.3,3,3,7,"['BSG--NFIX', 'NOTCH1--NUP214', 'PPP1R12A--SEPT10']","['EHMT1--NTNG2', 'C5--C9orf170', 'WASF3--COL5A1', 'INIP--CDC26', 'INIP--C5', 'CENPX--DUS1L', 'PCBP3--AP001042.2']"
gcsi,BT474,0.9565217391304348,0.5116279069767442,22,23,21,"['THRA--AC090627.1', 'RPS6KB1--SNF8', 'ZMYND8--CEP250', 'ACACA--STAC2', 'FAM102A--CIZ1', 'TOB1--SYNRG', 'AHCTF1--NAAA', 'STX16--RAE1', 'MED1--ACSF2', 'MED1--STXBP4', 'TRPC4AP--MRPL45', 'STARD3--DOK5', 'VAPB--IKZF3', 'MED13--BCAS3', 'RAB22A--MYO9B', 'SKA2--MYO19', 'GLB1--CMTM7', 'PIP4K2B--RAD51C', 'USP32--MED1', 'DIDO1--TTI1', 'CPNE1--PI3', 'LAMP1--MCF2L']","['SDHD--AP003973.3', 'ASTN2--AL354754.1', 'MEF2D--OR10J1', 'PPP1R12A--MGAT4C', 'FITM2--UQCC1', 'TPM4--SYCE2', 'TRIM37--MYO19', 'BRD4--RFX1', 'NCOA2--ZNF704', 'RBM12--PI3', 'BCAS3--AC034268.2', 'AC025048.4--HEATR6', 'ZFP64--PHACTR3', 'RRM1--TRIM68', 'NVL--ENAH', 'CYP4F8--ILVBL', 'TJP1--AC111152.1', 'PPP1R9A--WDR66', 'ERN1--TBC1D3P1', 'ACSL3--SGPP2', 'POLA2--MAP3K11']"
