ccle,edgren,gcsi,gray,uhn

ntools,cell,accuracy,precision,#TP,#GT,#FP,TP_list,FP_list
1,BT474,0.6086956521739131,0.14432989690721648,14,23,83,"['AHCTF1--NAAA', 'ACACA--STAC2', 'MED1--ACSF2', 'MED1--STXBP4', 'RPS6KB1--SNF8', 'TRPC4AP--MRPL45', 'VAPB--IKZF3', 'RAB22A--MYO9B', 'ZMYND8--CEP250', 'SKA2--MYO19', 'TOB1--SYNRG', 'PIP4K2B--RAD51C', 'USP32--MED1', 'GLB1--CMTM7']","['ENSG00000225972--MALAT1', 'ENSG00000225630--MALAT1', 'ENSG00000248527--MALAT1', 'ENSG00000198744--PDE3A', 'ENSG00000248527--LASP1', 'ENSG00000248527--UBB', 'PCBD2--HFM1', 'HFM1--RNR2', 'HFM1--ENSG00000198804', 'HFM1--RNR1', 'HFM1--ENSG00000198886', 'EEF1AKNMT--RNR1', 'SGPL1--RNR2', 'YWHAB--TSG101', 'TCN1--ENSG00000198888', 'MALAT1--RNR2', 'MALAT1--ENSG00000198712', 'MALAT1--ENSG00000228253', 'MALAT1--ENSG00000212907', 'MALAT1--ENSG00000198763', 'MALAT1--ENSG00000198888', 'MALAT1--ENSG00000198886', 'MALAT1--ENSG00000198786', 'MALAT1--ENSG00000198938', 'MALAT1--ENSG00000198899', 'DLG2--ENSG00000198899', 'DLG2--RNR2', 'PPP1R12A--MGAT4C', 'PDE3A--ENSG00000198763', 'PDE3A--RNR2', 'PDE3A--ENSG00000198938', 'KRT7--RNR2', 'CD63--RNR2', 'LAMP1--RNR2', 'HSP90AA1--ENSG00000198763', 'TRIM37--MYO19', 'RPL19--CATIP-AS2', 'RPL19--NAPEPLD', 'UBB--ENSG00000198804', 'UBB--ENSG00000228253', 'RPL23--ENSG00000198888', 'RPL23--RNR2', 'LASP1--ENSG00000198899', 'LASP1--RNR2', 'RPL19--RNR2', 'ERBB2--ENSG00000198763', 'PHB--ENSG00000198886', 'FLNB--COL5A2', 'GNAQ--ENSG00000214077', 'ANKRD30BL--ENSG00000198899', 'ANKRD30BL--RNR2', 'NCL--ENSG00000198712', 'STX16-NPEPL1--RAE1', 'GNAS--ENSG00000198888', 'GNAS--RNR2', 'DTWD2--ENSG00000198763', 'HSP90AB1--ENSG00000198763', 'HNRNPA2B1--RNR2', 'HNRNPA2B1--ENSG00000198763', 'SLCO5A1--RNR2', 'VPS13B--ENSG00000198727', 'STAU2-AS1--ENSG00000227581', 'VCP--ENSG00000228253', 'SET--ENSG00000198899', 'RNR1--ENSG00000198804', 'RNR1--ENSG00000198938', 'RNR1--ENSG00000198727', 'RNR1--RNR2', 'RNR2--ENSG00000198763', 'RNR2--ENSG00000198804', 'RNR2--ENSG00000228253', 'RNR2--ENSG00000198938', 'RNR2--ENSG00000198712', 'RNR2--ENSG00000198727', 'ENSG00000198695--RNR1', 'ENSG00000237008--LAPTM4B', 'STIP1--ENSG00000225536', 'ENSG00000230448--COL12A1', 'LMTK2--TBC1D5', 'ENSG00000250859--HNRNPK', 'ENSG00000226278--KMT2C', 'ASTN2--ENSG00000231901', 'GABRA3--ZNF185']"
1,KPL4,0.3333333333333333,0.5,1,3,1,['BSG--NFIX'],['PDE3A--RNR2']
1,MCF7,0.5333333333333333,0.08163265306122448,8,15,90,"['AHCYL1--RAD51C', 'RPS6KB1--VMP1', 'BCAS4--BCAS3', 'SMARCA4--CARM1', 'ARFGEF2--SULF2', 'MYH9--EIF3D', 'ADAMTS19--SLC27A6', 'PAPOLA--AK7']","['HFM1--RNR2', 'MALAT1--ENSG00000198763', 'MALAT1--RNR2', 'MALAT1--ENSG00000198804', 'MALAT1--ENSG00000198727', 'PDE3A--RNR2', 'CD63--ENSG00000198763', 'HSP90AA1--ENSG00000198886', 'GNAQ--ENSG00000214077', 'ANKRD30BL--ENSG00000198804', 'ANKRD30BL--ENSG00000198712', 'ANKRD30BL--ENSG00000228253', 'GNAS--ENSG00000198888', 'HNRNPA2B1--RNR2', 'HNRNPA2B1--ENSG00000198712', 'RNR2--ENSG00000198727', 'VAV3--RSBN1', 'RSBN1--AP4B1-AS1', 'GATAD2B--NUP210L', 'ENSG00000259349--PLPPR5', 'ATP1A1-AS1--ENSG00000020256', 'CSDE1--ZNF354C', 'DDOST--RNR2', 'CSDE1--RNR2', 'CSDE1--ENSG00000198712', 'CSDE1--ENSG00000198888', 'DSCAML1--TRAPPC4', 'TSG101--YWHAB', 'GCN1--MSI1', 'GAPDH--ADRA1B', 'PABPC1--ENSG00000255642', 'KRT8--RNR2', 'EIF4B--ENSG00000198804', 'FOXA1--TTC6', 'SNX6--RPS19', 'NRL--RNR2', 'ALDOA--ENSG00000198804', 'TANC2--CA4', 'USP32--PPM1D', 'EIF1--ASAP2', 'ABCA5--PPP4R1L', 'BCAS3--ATXN7', 'DDX5--ENSG00000198899', 'SLC39A6--RNR2', 'TOP1--LOC100128988', 'EEF1A2--ENSG00000198763', 'HACD2--MYLK', 'TBL1XR1--RGS17', 'ENSG00000244342--ASPH', 'MRFAP1--RNR2', 'DEPDC1B--ELOVL7', 'RACK1--FER', 'SLC27A6--ADAMTS19-AS1', 'CANX--RNR2', 'RACK1--RNR2', 'MYO6--SENP6', 'COX6C--ENSG00000198763', 'COX6C--RNR2', 'COX6C--ENSG00000198804', 'RPL8--RNR2', 'ENSG00000198763--RPL36A-HNRNPH2', 'ANKRD30BL--RNR2', 'SULF2--ENSG00000171940', 'STIP1--ENSG00000225536', 'LMTK2--TBC1D5', 'ENSG00000250859--HNRNPK', 'FBXO42--SZRD1', 'VAV3--AP4B1-AS1', 'HIPK1--DENND2C', 'PDE4DIP--SGF29', 'BCAS3--REG4', 'BEND7--PRPF18', 'BLOC1S2--ENSG00000236982', 'ARRB1--KLHL35', 'PCBP2--ATF7-NPFF', 'IRAK3--RBMS1', 'ENSG00000248185--DOCK9', 'GSN--SMIM22', 'TBX2-AS1--UBE2V1', 'B3GNTL1--SLC9A8', 'RAD51C--ATXN7', 'GREB1--LINC00570', 'SULF2--PRICKLE2-AS1', 'FNIP1--MEIKIN', 'AFF4--HSPA4', 'ESR1--CCDC170', 'ZNF746--ZNF767P', 'ENSG00000254024--GRHL2', 'STAU2-AS1--ENSG00000227581', 'TXLNG--SYAP1']"
1,SKBR3,0.5,0.2727272727272727,6,12,16,"['TATDN1--GSDMB', 'CYTH1--EIF3H', 'ANKHD1--PCDH1', 'RARA--PKIA', 'DHX35--ITCH', 'SUMF1--LRRFIP2']","['HFM1--RNR2', 'PDE3A--RNR2', 'PID1--ENSG00000198763', 'PDE3A--ENSG00000198899', 'RPL19--ENSG00000198899', 'CANX--ENSG00000198886', 'IRAK3--RBMS1', 'CYTH1--ENSG00000147677', 'MARCHF6--ENSG00000228253', 'LMTK2--TBC1D5', 'RAD51B--SEMA6D', 'NEMF--SNTB1', 'ATAD5--TLK2', 'TEX101--ARL8B', 'TBC1D31--ZNF704', 'SAMD12--MRPL13']"
2,BT474,0.43478260869565216,0.6666666666666666,10,23,5,"['ACACA--STAC2', 'MED1--ACSF2', 'MED1--STXBP4', 'RPS6KB1--SNF8', 'TRPC4AP--MRPL45', 'VAPB--IKZF3', 'RAB22A--MYO9B', 'ZMYND8--CEP250', 'SKA2--MYO19', 'TOB1--SYNRG']","['PPP1R12A--MGAT4C', 'PDE3A--RNR2', 'TRIM37--MYO19', 'GNAQ--ENSG00000214077', 'STX16-NPEPL1--RAE1']"
2,KPL4,0.0,0,0,3,0,[],[]
2,MCF7,0.4,0.2857142857142857,6,15,15,"['AHCYL1--RAD51C', 'RPS6KB1--VMP1', 'BCAS4--BCAS3', 'SMARCA4--CARM1', 'ARFGEF2--SULF2', 'ADAMTS19--SLC27A6']","['PDE3A--RNR2', 'GNAQ--ENSG00000214077', 'VAV3--RSBN1', 'RSBN1--AP4B1-AS1', 'ENSG00000259349--PLPPR5', 'ATP1A1-AS1--ENSG00000020256', 'DSCAML1--TRAPPC4', 'GCN1--MSI1', 'FOXA1--TTC6', 'TANC2--CA4', 'USP32--PPM1D', 'TBL1XR1--RGS17', 'DEPDC1B--ELOVL7', 'SLC27A6--ADAMTS19-AS1', 'MYO6--SENP6']"
2,SKBR3,0.25,0.75,3,12,1,"['TATDN1--GSDMB', 'CYTH1--EIF3H', 'ANKHD1--PCDH1']",['CYTH1--ENSG00000147677']
3,BT474,0.13043478260869565,1.0,3,23,0,"['ACACA--STAC2', 'MED1--STXBP4', 'VAPB--IKZF3']",[]
3,KPL4,0.0,0,0,3,0,[],[]
