gcsi,gray,edgren,uhn

ndatasets,cell,accuracy,precision,#TP,#GT,#FP,TP_list,FP_list
1,BT474,0.9565217391304348,0.4230769230769231,22,23,30,"['THRA--AC090627.1', 'RPS6KB1--SNF8', 'ZMYND8--CEP250', 'ACACA--STAC2', 'FAM102A--CIZ1', 'TOB1--SYNRG', 'AHCTF1--NAAA', 'STX16--RAE1', 'MED1--ACSF2', 'MED1--STXBP4', 'TRPC4AP--MRPL45', 'STARD3--DOK5', 'VAPB--IKZF3', 'MED13--BCAS3', 'RAB22A--MYO9B', 'SKA2--MYO19', 'GLB1--CMTM7', 'PIP4K2B--RAD51C', 'USP32--MED1', 'DIDO1--TTI1', 'CPNE1--PI3', 'LAMP1--MCF2L']","['SDHD--AP003973.3', 'ASTN2--AL354754.1', 'MEF2D--OR10J1', 'PPP1R12A--MGAT4C', 'FITM2--UQCC1', 'TPM4--SYCE2', 'TRIM37--MYO19', 'BRD4--RFX1', 'NCOA2--ZNF704', 'RBM12--PI3', 'BCAS3--AC034268.2', 'AC025048.4--HEATR6', 'ZFP64--PHACTR3', 'RRM1--TRIM68', 'NVL--ENAH', 'CYP4F8--ILVBL', 'TJP1--AC111152.1', 'PPP1R9A--WDR66', 'ERN1--TBC1D3P1', 'ACSL3--SGPP2', 'POLA2--MAP3K11', 'AL669831.3--MALAT1', 'FLNB--COL5A2', 'HNRNPA2B1--MALAT1', 'CYP4F3--ILVBL', 'VAPB--APCDD1L-DT', 'KAT6A--PLAT', 'YWHAB--YWHAZ', 'FCHSD2--LRTOMT', 'TADA2A--AL589743.4']"
1,MCF7,0.8666666666666667,0.13131313131313133,13,15,86,"['BCAS4--BCAS3', 'RPS6KB1--VMP1', 'ARFGEF2--SULF2', 'AC099850.1--VMP1', 'ADAMTS19--SLC27A6', 'SMARCA4--CARM1', 'MYO9B--FCHO1', 'ATXN7L3--FAM171A2', 'PAPOLA--AK7', 'RPS6KB1--DIAPH3', 'AHCYL1--RAD51C', 'SULF2--PRICKLE2', 'MYH9--EIF3D']","['SLC25A24--NBPF6', 'SYTL2--PICALM', 'DEPDC1B--ELOVL7', 'RSBN1--AP4B1-AS1', 'TXLNG--SYAP1', 'GCN1--MSI1', 'BCAS3--REG4', 'VPS35L--IQCK', 'GIGYF2--EIF4E2', 'ATP1A1--ZFP64', 'TANC2--CA4', 'TTC6--AL121790.1', 'SMARCC1--EMCN', 'USP31--CRYL1', 'POP1--MATN2', 'GATAD2B--NUP210L', 'MYO6--SENP6', 'TAF4--BRIP1', 'NAV1--GPR37L1', 'ESR1--CCDC170', 'GBF1--MACROD2', 'BCAS4--ZMYND8', 'RAD51C--ATXN7', 'AC011921.1--PLPPR5', 'ELP2--FP236383.1', 'DENND2C--AC005914.1', 'AC103770.1--TMEM64', 'SPTLC1--AL445231.1', 'SMG6--RTN4RL1', 'GRHL2--AP001330.1', 'AC010173.1--SLC16A7', 'PARD6B--BCAS3', 'TBL1XR1--RGS17', 'MAN1A2--CBLN4', 'MTAP--CDKN2B-AS1', 'ABCA5--PPP4R1L', 'MACROD2--C14orf132', 'YWHAE--MYO1C', 'HIPK1--DENND2C', 'HAND2-AS1--LINC02269', 'EIF3H--RAD21', 'RBM6--BCAR1', 'NFATC2--AP000550.3', 'MKRN1--CLDN15', 'BCAS3--ATXN7', 'HACD2--MYLK', 'ATP9A--AL357558.2', 'COP1--ASTN1', 'VAV3--AP4B1-AS1', 'ARRB1--KLHL35', 'RPS6KB1--CLTC', 'PNPLA7--DPH7', 'AC114498.2--HSP90AB1', 'AL669831.3--MALAT1', 'LRP1B--PLXDC1', 'AC114498.2--RPL13A', 'BPTF--PITPNC1', 'BMERB1--ABCC1', 'AC053481.3--DIAPH3', 'AL133342.1--PREX1', 'AL669831.3--NME2', 'MYH9--AC011505.1', 'PCBP2--ATF7', 'DNAJB6--UBE3C', 'GSN--SMIM22', 'FNIP1--MEIKIN', 'TRIM37--DHX40', 'GREB1--LINC00570', 'ABCA1--KIAA1324', 'SLC25A24--SARS', 'VAV3--AL137856.1', 'NCOA3--AC005808.1', 'CRYL1--GP2', 'NPEPPS--EFCAB13', 'MIR4713HG--GLDN', 'FAM49B--ASAP1', 'KCND3--PPM1E', 'SARNP--MMP19', 'AC244154.1--GPR179', 'LEMD3--AC002375.1', 'NFATC2--AL356585.2', 'BCAS3--AMPD1', 'AC005037.1--NIF3L1', 'ZMYND8--USP32', 'ARHGAP10--EDNRA', 'MED16--TMEM259']"
1,SKBR3,0.75,0.2,9,12,36,"['TATDN1--GSDMB', 'CYTH1--EIF3H', 'SUMF1--LRRFIP2', 'RARA--PKIA', 'CSE1L--AL035685.1', 'CCDC85C--SETD3', 'PREX1--CPNE1', 'KLHDC2--SNTB1', 'DHX35--ITCH']","['VSTM2L--CTNNBL1', 'TAF2--COLEC10', 'TRAM1--AC004083.1', 'SAMD12--MRPL13', 'ACOT8--WASH3P', 'ANKHD1-EIF4EBP3--PCDH1', 'KPNA6--KHDRBS1', 'HSPBP1--AC020922.2', 'TRIO--FBXL7', 'CSNK2A1--PREX1', 'PRKCH--AL355916.1', 'TRAM1--THOC7', 'TRIM5--AC104389.4', 'ACOT11--AL603840.1', 'SNHG3--UBE2D2', 'TBC1D31--ZNF704', 'ACOT8--WASH2P', 'ATAD5--TLK2', 'NCOA2--AC004083.1', 'SSU72--SLC35E2B', 'EPS8L2--PYCR1', 'SLC25A6--P4HB', 'STAG3L5P--SIVA1', 'CFAP73--TPCN1', 'KCNK3--SRRM2', 'SEC24C--PRPF6', 'SBF1--LMNA', 'ZNF740--SUCLG1', 'SAMD12-AS1--COLEC10', 'LGALS8--EDARADD', 'NF1--RNF135', 'IQSEC1--MBNL1', 'LINC00271--PDE7B', 'MMP24OS--EDEM2', 'AC093515.1--SLC12A4', 'TMED3--MINAR1']"
2,BT474,0.9565217391304348,0.5945945945945946,22,23,15,"['THRA--AC090627.1', 'RPS6KB1--SNF8', 'ZMYND8--CEP250', 'ACACA--STAC2', 'FAM102A--CIZ1', 'TOB1--SYNRG', 'AHCTF1--NAAA', 'STX16--RAE1', 'MED1--ACSF2', 'MED1--STXBP4', 'TRPC4AP--MRPL45', 'STARD3--DOK5', 'VAPB--IKZF3', 'MED13--BCAS3', 'RAB22A--MYO9B', 'SKA2--MYO19', 'GLB1--CMTM7', 'PIP4K2B--RAD51C', 'USP32--MED1', 'DIDO1--TTI1', 'CPNE1--PI3', 'LAMP1--MCF2L']","['SDHD--AP003973.3', 'ASTN2--AL354754.1', 'MEF2D--OR10J1', 'PPP1R12A--MGAT4C', 'FITM2--UQCC1', 'TPM4--SYCE2', 'TRIM37--MYO19', 'BRD4--RFX1', 'RBM12--PI3', 'BCAS3--AC034268.2', 'AC025048.4--HEATR6', 'NVL--ENAH', 'ERN1--TBC1D3P1', 'KAT6A--PLAT', 'FCHSD2--LRTOMT']"
2,MCF7,0.8,0.24,12,15,38,"['BCAS4--BCAS3', 'RPS6KB1--VMP1', 'ARFGEF2--SULF2', 'AC099850.1--VMP1', 'ADAMTS19--SLC27A6', 'SMARCA4--CARM1', 'MYO9B--FCHO1', 'ATXN7L3--FAM171A2', 'PAPOLA--AK7', 'RPS6KB1--DIAPH3', 'AHCYL1--RAD51C', 'SULF2--PRICKLE2']","['SLC25A24--NBPF6', 'SYTL2--PICALM', 'DEPDC1B--ELOVL7', 'RSBN1--AP4B1-AS1', 'TXLNG--SYAP1', 'GCN1--MSI1', 'BCAS3--REG4', 'VPS35L--IQCK', 'GIGYF2--EIF4E2', 'ATP1A1--ZFP64', 'TANC2--CA4', 'TTC6--AL121790.1', 'SMARCC1--EMCN', 'USP31--CRYL1', 'POP1--MATN2', 'GATAD2B--NUP210L', 'MYO6--SENP6', 'TAF4--BRIP1', 'NAV1--GPR37L1', 'ESR1--CCDC170', 'RAD51C--ATXN7', 'AC011921.1--PLPPR5', 'ELP2--FP236383.1', 'DENND2C--AC005914.1', 'AC103770.1--TMEM64', 'SPTLC1--AL445231.1', 'PARD6B--BCAS3', 'TBL1XR1--RGS17', 'MAN1A2--CBLN4', 'MTAP--CDKN2B-AS1', 'ABCA5--PPP4R1L', 'HIPK1--DENND2C', 'EIF3H--RAD21', 'RBM6--BCAR1', 'BCAS3--ATXN7', 'ATP9A--AL357558.2', 'VAV3--AP4B1-AS1', 'BMERB1--ABCC1']"
2,SKBR3,0.75,0.5,9,12,9,"['TATDN1--GSDMB', 'CYTH1--EIF3H', 'SUMF1--LRRFIP2', 'RARA--PKIA', 'CSE1L--AL035685.1', 'CCDC85C--SETD3', 'PREX1--CPNE1', 'KLHDC2--SNTB1', 'DHX35--ITCH']","['VSTM2L--CTNNBL1', 'TAF2--COLEC10', 'SAMD12--MRPL13', 'ACOT8--WASH3P', 'ANKHD1-EIF4EBP3--PCDH1', 'TRIO--FBXL7', 'PRKCH--AL355916.1', 'TBC1D31--ZNF704', 'ATAD5--TLK2']"
3,BT474,0.9130434782608695,0.7777777777777778,21,23,6,"['THRA--AC090627.1', 'RPS6KB1--SNF8', 'ZMYND8--CEP250', 'ACACA--STAC2', 'FAM102A--CIZ1', 'TOB1--SYNRG', 'AHCTF1--NAAA', 'STX16--RAE1', 'MED1--ACSF2', 'MED1--STXBP4', 'TRPC4AP--MRPL45', 'STARD3--DOK5', 'VAPB--IKZF3', 'MED13--BCAS3', 'RAB22A--MYO9B', 'SKA2--MYO19', 'GLB1--CMTM7', 'PIP4K2B--RAD51C', 'DIDO1--TTI1', 'CPNE1--PI3', 'LAMP1--MCF2L']","['ASTN2--AL354754.1', 'MEF2D--OR10J1', 'PPP1R12A--MGAT4C', 'TRIM37--MYO19', 'BCAS3--AC034268.2', 'AC025048.4--HEATR6']"
3,MCF7,0.7333333333333333,0.3548387096774194,11,15,20,"['BCAS4--BCAS3', 'RPS6KB1--VMP1', 'ARFGEF2--SULF2', 'AC099850.1--VMP1', 'ADAMTS19--SLC27A6', 'SMARCA4--CARM1', 'MYO9B--FCHO1', 'PAPOLA--AK7', 'RPS6KB1--DIAPH3', 'AHCYL1--RAD51C', 'SULF2--PRICKLE2']","['DEPDC1B--ELOVL7', 'RSBN1--AP4B1-AS1', 'TXLNG--SYAP1', 'GCN1--MSI1', 'ATP1A1--ZFP64', 'TANC2--CA4', 'SMARCC1--EMCN', 'GATAD2B--NUP210L', 'MYO6--SENP6', 'TAF4--BRIP1', 'NAV1--GPR37L1', 'ESR1--CCDC170', 'AC011921.1--PLPPR5', 'ELP2--FP236383.1', 'DENND2C--AC005914.1', 'TBL1XR1--RGS17', 'MTAP--CDKN2B-AS1', 'ABCA5--PPP4R1L', 'HIPK1--DENND2C', 'EIF3H--RAD21']"
3,SKBR3,0.6666666666666666,0.6666666666666666,8,12,4,"['TATDN1--GSDMB', 'CYTH1--EIF3H', 'SUMF1--LRRFIP2', 'RARA--PKIA', 'CSE1L--AL035685.1', 'CCDC85C--SETD3', 'KLHDC2--SNTB1', 'DHX35--ITCH']","['VSTM2L--CTNNBL1', 'ANKHD1-EIF4EBP3--PCDH1', 'TBC1D31--ZNF704', 'ATAD5--TLK2']"
4,BT474,0.6956521739130435,0.8888888888888888,16,23,2,"['THRA--AC090627.1', 'RPS6KB1--SNF8', 'ZMYND8--CEP250', 'ACACA--STAC2', 'TOB1--SYNRG', 'AHCTF1--NAAA', 'STX16--RAE1', 'MED1--ACSF2', 'MED1--STXBP4', 'TRPC4AP--MRPL45', 'VAPB--IKZF3', 'MED13--BCAS3', 'RAB22A--MYO9B', 'SKA2--MYO19', 'GLB1--CMTM7', 'PIP4K2B--RAD51C']","['ASTN2--AL354754.1', 'TRIM37--MYO19']"
