fusioncatcher,starfusion,tophat

ntools,lab,cell,accuracy,precision,#TP,#GT,#FP,TP_list,FP_list
1,edgren,BT474,0.8695652173913043,0.46511627906976744,20,23,23,"['ACACA--STAC2', 'ZMYND8--CEP250', 'STX16--RAE1', 'MED13--BCAS3', 'RPS6KB1--SNF8', 'TOB1--SYNRG', 'THRA--AC090627.1', 'VAPB--IKZF3', 'AHCTF1--NAAA', 'MED1--ACSF2', 'MED1--STXBP4', 'RAB22A--MYO9B', 'SKA2--MYO19', 'STARD3--DOK5', 'TRPC4AP--MRPL45', 'DIDO1--TTI1', 'PIP4K2B--RAD51C', 'GLB1--CMTM7', 'CPNE1--PI3', 'LAMP1--MCF2L']","['THRA--THRA1/BTR', 'NPEPPS--TBC1D3', 'AP2B1--RPL23', 'TKT--ERBB2', 'BRD4--RFX1', 'ASTN2--AL354754.1', 'AC025048.4--HEATR6', 'TRIM37--MYO19', 'ERN1--TBC1D3P1', 'TADA2A--AL589743.4', 'ENSG00000248527--PDE3A', 'HFM1--RNR2', 'NOTCH2NLB--RNR2', 'DLG2--UNC45B', 'DLG2--RNR2', 'PDE3A--RNR2', 'PDE3A--ENSG00000198938', 'PDE3A--ENSG00000228253', 'UBB--ENSG00000198804', 'UNC45B--ENSG00000198804', 'ERBB2--RNR2', 'ANKRD30BL--RNR2', 'RNR2--ENSG00000198712']"
1,edgren,KPL4,1.0,0.25,3,3,9,"['BSG--NFIX', 'NOTCH1--NUP214', 'PPP1R12A--SEPT10']","['NPEPPS--TBC1D3', 'EHMT1--NTNG2', 'C5--C9orf170', 'WASF3--COL5A1', 'INIP--CDC26', 'INIP--C5', 'CENPX--DUS1L', 'PCBP3--AP001042.2', 'PDE3A--RNR2']"
1,edgren,MCF7,0.6,0.375,9,15,15,"['BCAS4--BCAS3', 'ARFGEF2--SULF2', 'AC099850.1--VMP1', 'RPS6KB1--VMP1', 'PAPOLA--AK7', 'SMARCA4--CARM1', 'MYO9B--FCHO1', 'SULF2--PRICKLE2', 'ADAMTS19--SLC27A6']","['CKAP5--KRT8', 'RSBN1--AP4B1-AS1', 'TXLNG--SYAP1', 'LRP1B--PLXDC1', 'AC114498.2--RPL13A', 'BPTF--PITPNC1', 'BMERB1--ABCC1', 'ATP1A1--ZFP64', 'AC053481.3--DIAPH3', 'AL133342.1--PREX1', 'AL669831.3--NME2', 'PDE3A--RNR2', 'ANKRD30BL--RNR2', 'FOXA1--TTC6', 'SULF2--ENSG00000171940']"
1,edgren,SKBR3,0.5,0.20689655172413793,6,12,23,"['TATDN1--GSDMB', 'CYTH1--EIF3H', 'SUMF1--LRRFIP2', 'RARA--PKIA', 'CSE1L--AL035685.1', 'CCDC85C--SETD3']","['RAB5C--ERBB2', 'TKT--ERBB2', 'AL121594.1--ERBB2', 'C1ORF43--ERBB2', 'CNOT1--ERBB2', 'PRKCSH--ERBB2', 'TPM3--ERBB2', 'TXNRD1--ERBB2', 'CPNE3--ERBB2', 'EIF2AK1--ERBB2', 'ERCC1--ERBB2', 'IQCE--ERBB2', 'NDST1--ERBB2', 'TJP2--ERBB2', 'TMBIM1--ERBB2', 'TRIP12--ERBB2', 'ANKHD1-EIF4EBP3--PCDH1', 'ACOT8--WASH2P', 'ATAD5--TLK2', 'TBC1D31--ZNF704', 'PDE3A--RNR2', 'TOP1--FMO4', 'TEX101--ARL8B']"
2,edgren,BT474,0.4782608695652174,1.0,11,23,0,"['ACACA--STAC2', 'ZMYND8--CEP250', 'STX16--RAE1', 'MED13--BCAS3', 'RPS6KB1--SNF8', 'TOB1--SYNRG', 'VAPB--IKZF3', 'MED1--ACSF2', 'MED1--STXBP4', 'RAB22A--MYO9B', 'SKA2--MYO19']",[]
2,edgren,KPL4,0.3333333333333333,1.0,1,3,0,['BSG--NFIX'],[]
2,edgren,MCF7,0.26666666666666666,1.0,4,15,0,"['BCAS4--BCAS3', 'ARFGEF2--SULF2', 'AC099850.1--VMP1', 'RPS6KB1--VMP1']",[]
2,edgren,SKBR3,0.16666666666666666,1.0,2,12,0,"['TATDN1--GSDMB', 'RARA--PKIA']",[]
3,edgren,BT474,0.13043478260869565,1.0,3,23,0,"['ACACA--STAC2', 'RPS6KB1--SNF8', 'TOB1--SYNRG']",[]
3,edgren,KPL4,0.3333333333333333,1.0,1,3,0,['BSG--NFIX'],[]
3,edgren,MCF7,0.13333333333333333,1.0,2,15,0,"['BCAS4--BCAS3', 'ARFGEF2--SULF2']",[]
3,edgren,SKBR3,0.08333333333333333,1.0,1,12,0,['TATDN1--GSDMB'],[]
