ACACA--STAC2,ACACA,STAC2
AHCTF1--NAAA,AHCTF1,NAAA
CPNE1--PI3,CPNE1,PI3
DIDO1--TTI1,DIDO1,TTI1
FAM102A--CIZ1,FAM102A,CIZ1
GLB1--CMTM7,GLB1,CMTM7
LAMP1--MCF2L,LAMP1,MCF2L
LIMA1--USP22,LIMA1,USP22
MED1--ACSF2,MED1,ACSF2
MED1--STXBP4,MED1,STXBP4
MED13--BCAS3,MED13,BCAS3
PIP4K2B--RAD51C,PIP4K2B,RAD51C
RAB22A--MYO9B,RAB22A,MYO9B
RPS6KB1--SNF8,RPS6KB1,SNF8
SKA2--MYO19,SKA2,MYO19
STARD3--DOK5,STARD3,DOK5
STX16--RAE1,STX16,RAE1
THRA--AC090627.1,THRA,AC090627.1
TOB1--SYNRG,TOB1,SYNRG
TRPC4AP--MRPL45,TRPC4AP,MRPL45
USP32--MED1,USP32,MED1
VAPB--IKZF3,VAPB,IKZF3
ZMYND8--CEP250,ZMYND8,CEP250
